"","Zone","Species","Abundance"
"1","High","Austrocochlea",0
"2","High","Austrocochlea",28
"3","High","Austrocochlea",1
"4","High","Austrocochlea",20
"5","High","Austrocochlea",0
"6","High","Austrocochlea",35
"7","High","Austrocochlea",0
"8","High","Austrocochlea",13
"9","High","Austrocochlea",0
"10","High","Austrocochlea",0
"11","High","Austrocochlea",0
"12","High","Austrocochlea",2
"13","High","Austrocochlea",0
"14","High","Austrocochlea",6
"15","High","Austrocochlea",0
"16","High","Austrocochlea",0
"17","High","Austrocochlea",0
"18","High","Austrocochlea",0
"19","High","Austrocochlea",1
"20","High","Austrocochlea",0
"21","High","Austrocochlea",0
"22","High","Austrocochlea",3
"23","High","Austrocochlea",0
"24","High","Austrocochlea",0
"25","High","Austrocochlea",0
"26","High","Austrocochlea",2
"27","High","Austrocochlea",0
"28","High","Austrocochlea",0
"29","High","Austrocochlea",0
"30","High","Austrocochlea",0
"31","High","Austrocochlea",0
"32","High","Austrocochlea",1
"33","High","Austrocochlea",9
"34","High","Austrocochlea",2
"35","High","Austrocochlea",0
"36","High","Austrocochlea",2
"37","High","Austrocochlea",0
"38","High","Austrocochlea",0
"39","High","Austrocochlea",0
"40","High","Austrocochlea",2
"41","High","Cellana",0
"42","High","Cellana",0
"43","High","Cellana",0
"44","High","Cellana",0
"45","High","Cellana",0
"46","High","Cellana",13
"47","High","Cellana",23
"48","High","Cellana",0
"49","High","Cellana",0
"50","High","Cellana",0
"51","High","Cellana",7
"52","High","Cellana",0
"53","High","Cellana",16
"54","High","Cellana",0
"55","High","Cellana",0
"56","High","Cellana",13
"57","High","Cellana",4
"58","High","Cellana",0
"59","High","Cellana",0
"60","High","Cellana",0
"61","High","Cellana",0
"62","High","Cellana",20
"63","High","Cellana",7
"64","High","Cellana",40
"65","High","Cellana",1
"66","High","Cellana",19
"67","High","Cellana",0
"68","High","Cellana",0
"69","High","Cellana",6
"70","High","Cellana",0
"71","High","Cellana",2
"72","High","Cellana",0
"73","High","Cellana",0
"74","High","Cellana",0
"75","High","Cellana",0
"76","High","Cellana",0
"77","High","Cellana",13
"78","High","Cellana",0
"79","High","Cellana",12
"80","High","Cellana",1
"81","High","Nerita",4
"82","High","Nerita",0
"83","High","Nerita",14
"84","High","Nerita",0
"85","High","Nerita",39
"86","High","Nerita",0
"87","High","Nerita",3
"88","High","Nerita",0
"89","High","Nerita",5
"90","High","Nerita",16
"91","High","Nerita",5
"92","High","Nerita",0
"93","High","Nerita",0
"94","High","Nerita",1
"95","High","Nerita",0
"96","High","Nerita",1
"97","High","Nerita",7
"98","High","Nerita",4
"99","High","Nerita",0
"100","High","Nerita",0
"101","High","Nerita",2
"102","High","Nerita",0
"103","High","Nerita",27
"104","High","Nerita",0
"105","High","Nerita",34
"106","High","Nerita",8
"107","High","Nerita",0
"108","High","Nerita",0
"109","High","Nerita",1
"110","High","Nerita",26
"111","High","Nerita",0
"112","High","Nerita",0
"113","High","Nerita",1
"114","High","Nerita",0
"115","High","Nerita",0
"116","High","Nerita",0
"117","High","Nerita",0
"118","High","Nerita",30
"119","High","Nerita",0
"120","High","Nerita",1
"121","Low","Austrocochlea",4
"122","Low","Austrocochlea",3
"123","Low","Austrocochlea",9
"124","Low","Austrocochlea",20
"125","Low","Austrocochlea",10
"126","Low","Austrocochlea",3
"127","Low","Austrocochlea",14
"128","Low","Austrocochlea",8
"129","Low","Austrocochlea",7
"130","Low","Austrocochlea",7
"131","Low","Austrocochlea",11
"132","Low","Austrocochlea",20
"133","Low","Austrocochlea",3
"134","Low","Austrocochlea",14
"135","Low","Austrocochlea",8
"136","Low","Austrocochlea",1
"137","Low","Austrocochlea",20
"138","Low","Austrocochlea",29
"139","Low","Austrocochlea",2
"140","Low","Austrocochlea",14
"141","Low","Austrocochlea",3
"142","Low","Austrocochlea",12
"143","Low","Austrocochlea",2
"144","Low","Austrocochlea",12
"145","Low","Austrocochlea",13
"146","Low","Austrocochlea",1
"147","Low","Austrocochlea",14
"148","Low","Austrocochlea",23
"149","Low","Austrocochlea",18
"150","Low","Austrocochlea",8
"151","Low","Austrocochlea",20
"152","Low","Austrocochlea",0
"153","Low","Austrocochlea",10
"154","Low","Austrocochlea",69
"155","Low","Austrocochlea",62
"156","Low","Austrocochlea",8
"157","Low","Austrocochlea",15
"158","Low","Austrocochlea",12
"159","Low","Austrocochlea",11
"160","Low","Austrocochlea",17
"161","Low","Cellana",11
"162","Low","Cellana",29
"163","Low","Cellana",8
"164","Low","Cellana",3
"165","Low","Cellana",14
"166","Low","Cellana",29
"167","Low","Cellana",14
"168","Low","Cellana",13
"169","Low","Cellana",4
"170","Low","Cellana",10
"171","Low","Cellana",6
"172","Low","Cellana",15
"173","Low","Cellana",6
"174","Low","Cellana",0
"175","Low","Cellana",20
"176","Low","Cellana",18
"177","Low","Cellana",3
"178","Low","Cellana",42
"179","Low","Cellana",32
"180","Low","Cellana",4
"181","Low","Cellana",15
"182","Low","Cellana",7
"183","Low","Cellana",15
"184","Low","Cellana",0
"185","Low","Cellana",18
"186","Low","Cellana",0
"187","Low","Cellana",19
"188","Low","Cellana",35
"189","Low","Cellana",27
"190","Low","Cellana",20
"191","Low","Cellana",12
