"quadrat_ID","habitat","species","abundance"
"10_1","Emergent","Actinia",0
"10_1","Emergent","Austrocochlea",2
"10_1","Emergent","Barnacles",121
"10_1","Emergent","Bembicium",0
"10_1","Emergent","Brown_algae",20
"10_1","Emergent","Cellana",30
"10_1","Emergent","Green_algae",2
"10_1","Emergent","Morula",2
"10_1","Emergent","Nerita",16
"10_1","Emergent","Patiriella",0
"10_1","Emergent","Pyura",1
"10_1","Emergent","Red_algae",0
"10_2","Emergent","Actinia",0
"10_2","Emergent","Austrocochlea",5
"10_2","Emergent","Barnacles",0
"10_2","Emergent","Bembicium",0
"10_2","Emergent","Brown_algae",31
"10_2","Emergent","Cellana",23
"10_2","Emergent","Green_algae",3
"10_2","Emergent","Morula",0
"10_2","Emergent","Nerita",4
"10_2","Emergent","Patiriella",0
"10_2","Emergent","Pyura",0
"10_2","Emergent","Red_algae",0
"10_3","Rockpool","Actinia",0
"10_3","Rockpool","Austrocochlea",8
"10_3","Rockpool","Barnacles",0
"10_3","Rockpool","Bembicium",13
"10_3","Rockpool","Brown_algae",2
"10_3","Rockpool","Cellana",0
"10_3","Rockpool","Green_algae",2
"10_3","Rockpool","Morula",0
"10_3","Rockpool","Nerita",14
"10_3","Rockpool","Patiriella",0
"10_3","Rockpool","Pyura",0
"10_3","Rockpool","Red_algae",10
"10_4","Rockpool","Actinia",0
"10_4","Rockpool","Austrocochlea",5
"10_4","Rockpool","Barnacles",0
"10_4","Rockpool","Bembicium",1
"10_4","Rockpool","Brown_algae",0
"10_4","Rockpool","Cellana",7
"10_4","Rockpool","Green_algae",0
"10_4","Rockpool","Morula",0
"10_4","Rockpool","Nerita",12
"10_4","Rockpool","Patiriella",0
"10_4","Rockpool","Pyura",0
"10_4","Rockpool","Red_algae",0
"10_5","Rockpool","Actinia",0
"10_5","Rockpool","Austrocochlea",5
"10_5","Rockpool","Barnacles",0
"10_5","Rockpool","Bembicium",0
"10_5","Rockpool","Brown_algae",15
"10_5","Rockpool","Cellana",10
"10_5","Rockpool","Green_algae",0
"10_5","Rockpool","Morula",0
"10_5","Rockpool","Nerita",20
"10_5","Rockpool","Patiriella",0
"10_5","Rockpool","Pyura",0
"10_5","Rockpool","Red_algae",10
"10_6","Emergent","Actinia",1
"10_6","Emergent","Austrocochlea",0
"10_6","Emergent","Barnacles",0
"10_6","Emergent","Bembicium",0
"10_6","Emergent","Brown_algae",40
"10_6","Emergent","Cellana",22
"10_6","Emergent","Green_algae",2
"10_6","Emergent","Morula",0
"10_6","Emergent","Nerita",0
"10_6","Emergent","Patiriella",0
"10_6","Emergent","Pyura",0
"10_6","Emergent","Red_algae",0
"11_2","Rockpool","Actinia",0
"11_2","Rockpool","Austrocochlea",0
"11_2","Rockpool","Barnacles",0
"11_2","Rockpool","Bembicium",0
"11_2","Rockpool","Brown_algae",40
"11_2","Rockpool","Cellana",2
"11_2","Rockpool","Green_algae",3
"11_2","Rockpool","Morula",1
"11_2","Rockpool","Nerita",0
"11_2","Rockpool","Patiriella",0
"11_2","Rockpool","Pyura",0
"11_2","Rockpool","Red_algae",0
"11_3","Rockpool","Actinia",0
"11_3","Rockpool","Austrocochlea",0
"11_3","Rockpool","Barnacles",0
"11_3","Rockpool","Bembicium",0
"11_3","Rockpool","Brown_algae",5
"11_3","Rockpool","Cellana",0
"11_3","Rockpool","Green_algae",0
"11_3","Rockpool","Morula",0
"11_3","Rockpool","Nerita",0
"11_3","Rockpool","Patiriella",0
"11_3","Rockpool","Pyura",0
"11_3","Rockpool","Red_algae",2
"11_4","Rockpool","Actinia",1
"11_4","Rockpool","Austrocochlea",0
"11_4","Rockpool","Barnacles",0
"11_4","Rockpool","Bembicium",0
"11_4","Rockpool","Brown_algae",7
"11_4","Rockpool","Cellana",1
"11_4","Rockpool","Green_algae",5
"11_4","Rockpool","Morula",0
"11_4","Rockpool","Nerita",0
"11_4","Rockpool","Patiriella",0
"11_4","Rockpool","Pyura",1
"11_4","Rockpool","Red_algae",0
"11_5","Rockpool","Actinia",0
"11_5","Rockpool","Austrocochlea",0
"11_5","Rockpool","Barnacles",0
"11_5","Rockpool","Bembicium",0
"11_5","Rockpool","Brown_algae",6
"11_5","Rockpool","Cellana",0
"11_5","Rockpool","Green_algae",0
"11_5","Rockpool","Morula",0
"11_5","Rockpool","Nerita",0
"11_5","Rockpool","Patiriella",1
"11_5","Rockpool","Pyura",0
"11_5","Rockpool","Red_algae",0
"12_1","Emergent","Actinia",0
"12_1","Emergent","Austrocochlea",8
"12_1","Emergent","Barnacles",0
"12_1","Emergent","Bembicium",0
"12_1","Emergent","Brown_algae",0
"12_1","Emergent","Cellana",6
"12_1","Emergent","Green_algae",0
"12_1","Emergent","Morula",0
"12_1","Emergent","Nerita",1
"12_1","Emergent","Patiriella",0
"12_1","Emergent","Pyura",0
"12_1","Emergent","Red_algae",0
"12_2","Emergent","Actinia",0
"12_2","Emergent","Austrocochlea",2
"12_2","Emergent","Barnacles",0
"12_2","Emergent","Bembicium",0
"12_2","Emergent","Brown_algae",0
"12_2","Emergent","Cellana",3
"12_2","Emergent","Green_algae",0
"12_2","Emergent","Morula",0
"12_2","Emergent","Nerita",0
"12_2","Emergent","Patiriella",0
"12_2","Emergent","Pyura",0
"12_2","Emergent","Red_algae",0
"12_3","Emergent","Actinia",0
"12_3","Emergent","Austrocochlea",1
"12_3","Emergent","Barnacles",0
"12_3","Emergent","Bembicium",2
"12_3","Emergent","Brown_algae",15
"12_3","Emergent","Cellana",9
"12_3","Emergent","Green_algae",0
"12_3","Emergent","Morula",2
"12_3","Emergent","Nerita",0
"12_3","Emergent","Patiriella",1
"12_3","Emergent","Pyura",0
"12_3","Emergent","Red_algae",0
"12_4","Emergent","Actinia",0
"12_4","Emergent","Austrocochlea",0
"12_4","Emergent","Barnacles",1
"12_4","Emergent","Bembicium",0
"12_4","Emergent","Brown_algae",30
"12_4","Emergent","Cellana",18
"12_4","Emergent","Green_algae",2
"12_4","Emergent","Morula",1
"12_4","Emergent","Nerita",0
"12_4","Emergent","Patiriella",0
"12_4","Emergent","Pyura",0
"12_4","Emergent","Red_algae",0
"12_5","Rockpool","Actinia",0
"12_5","Rockpool","Austrocochlea",0
"12_5","Rockpool","Barnacles",0
"12_5","Rockpool","Bembicium",0
"12_5","Rockpool","Brown_algae",0
"12_5","Rockpool","Cellana",0
"12_5","Rockpool","Green_algae",0
"12_5","Rockpool","Morula",0
"12_5","Rockpool","Nerita",0
"12_5","Rockpool","Patiriella",0
"12_5","Rockpool","Pyura",0
"12_5","Rockpool","Red_algae",55
"13_1","Emergent","Actinia",0
"13_1","Emergent","Austrocochlea",0
"13_1","Emergent","Barnacles",0
"13_1","Emergent","Bembicium",0
"13_1","Emergent","Brown_algae",0
"13_1","Emergent","Cellana",1
"13_1","Emergent","Green_algae",0
"13_1","Emergent","Morula",0
"13_1","Emergent","Nerita",0
"13_1","Emergent","Patiriella",0
"13_1","Emergent","Pyura",0
"13_1","Emergent","Red_algae",0
"13_2","Rockpool","Actinia",0
"13_2","Rockpool","Austrocochlea",6
"13_2","Rockpool","Barnacles",0
"13_2","Rockpool","Bembicium",0
"13_2","Rockpool","Brown_algae",0
"13_2","Rockpool","Cellana",1
"13_2","Rockpool","Green_algae",7
"13_2","Rockpool","Morula",0
"13_2","Rockpool","Nerita",0
"13_2","Rockpool","Patiriella",0
"13_2","Rockpool","Pyura",0
"13_2","Rockpool","Red_algae",0
"13_3","Emergent","Actinia",0
"13_3","Emergent","Austrocochlea",1
"13_3","Emergent","Barnacles",0
"13_3","Emergent","Bembicium",0
"13_3","Emergent","Brown_algae",0
