population,temperature,abundance
a,10.25,7.14
a,10.5,1.43
a,10.75,14
a,11,9.43
a,11.25,11.71
a,11.5,2
a,11.75,4.86
a,12,14
a,12.25,19.14
a,12.5,4
a,12.75,0.86
a,13,2
a,13.25,23.71
a,13.5,14.29
a,13.75,2.86
a,14,10.86
a,14.25,14
a,14.5,18.57
a,15,24
a,14.75,6
,,
b,10.25,1.75
b,10.5,1.5
b,10.75,4.25
b,11,2
b,11.25,5.75
b,11.5,5.25
b,11.75,8.5
b,12,5.75
b,12.25,10
b,12.5,9.5
b,12.75,12.25
b,13,10
b,13.2,14
b,13.5,13.5
b,13.75,16.5
b,14,14
b,14.15,17.75
b,14.5,17
b,14.75,20.75
b,15,18
,,
c,10.25,4
c,10.5,1.3
c,10.75,14
c,11,7
c,11.25,12
c,11.5,1.75
c,11.75,4.75
c,12,10.75
c,12.25,17
c,12.5,6
c,12.75,1
c,13,5
c,13.25,20
c,13.5,14.5
c,13.75,2.75
c,14,13
c,14.25,14
c,14.5,18.5
c,14.75,10.75
c,15,24
,,
d,10.25,4
d,10.5,1.5
d,10.75,10
d,11,7
d,11.25,12
d,11.5,2
d,11.75,5
d,12,11
d,12.25,13
d,12.5,6
d,12.75,1
d,13,9
d,13.25,20
d,13.5,14.5
d,13.75,10.75
d,14,13
d,14.25,14
d,14.5,18.5
d,14.75,10.75
d,15,24
