fish_id,temp_treatment,smr
fish_ 1,20C,177.00534759358277
fish_ 2,20C,243.31550802139031
fish_ 3,20C,236.898395721925
fish_ 4,20C,224.06417112299454
fish_ 5,20C,279.6791443850267
fish_ 6,20C,296.79144385026723
fish_ 7,20C,209.090909090909
fish_ 8,20C,206.95187165775394
fish_ 9,20C,230.4812834224598
fish_ 10,20C,172.7272727272727
fish_ 11,20C,174.8663101604277
fish_ 12,20C,177.00534759358277
fish_ 1,24C,196.2566844919785
fish_ 2,24C,262.5668449197859
fish_ 3,24C,305.34759358288755
fish_ 4,24C,224.06417112299454
fish_ 5,24C,243.31550802139031
fish_ 6,24C,247.5935828877004
fish_ 7,24C,303.20855614973254
fish_ 8,24C,316.042780748663
fish_ 9,24C,335.29411764705884
fish_ 10,24C,352.4064171122994
fish_ 11,24C,303.20855614973254
fish_ 12,24C,281.8181818181817
fish_ 13,24C,301.0695187165775
fish_ 14,24C,271.1229946524063
fish_ 1,28C,228.34224598930479
fish_ 2,28C,335.29411764705884
fish_ 3,28C,369.5187165775399
fish_ 4,28C,416.57754010695163
fish_ 5,28C,408.0213903743315
