site,Genus_species,Family,growthform,height,Country,Site,lat,long,hemisphere,altitude,temperature,rain.wettestmonth
193,Acer_macryophyllum,Sapindaceae,Tree,28,USA,Oregon - McDun,44.6,-123.334,1,179,10.8,217
103,Quararibea_cordata,Malvaceae,Tree,26.6,Peru,Manu,12.183,-70.55,-1,386,24.5,416
54,Eragrostis_dielsii,Poaceae,Herb,0.3,Australia,Central Australia,23.8,133.833,-1,553,20.9,37
144,Cistus_salvifolius,Cistaceae,Shrub,1.6,Israel,Hanadiv,32.555,34.938,1,115,19.9,159
178,Phlox_bifida,Polemoniaceae,Herb,0.2,USA,Indiana Dunes,41.617,-86.95,1,200,9.7,104
59,Homalium_betulifolium,Salicaceae,Shrub,1.7,New Caledonia,NA,21.5,165.5,-1,95,22.6,216
27,Pultenaea_microphylla,Fabaceae - P,Shrub,0.5,Australia,"Kuringai Chase, Sydney",33.65,151.2,-1,157,16.8,157
118,Rhizophora_mucronata,Rhizophoraceae,Tree,10,NA,Marshall Islands,9,168,1,2,27.7,300
154,Carya_ovata,Juglandaceae,Tree,40,USA,Colorado,35.8,-89.9,1,71,15.5,129
106,Ischaemum_nativitatis,Poaceae,Herb,0.5,Australia,Christmas Island,10.417,105.667,-1,2,26.4,309
201,Betula_nana,Betulaceae,Shrub,0.55,Estonia,NA,58.5,25,1,28,5.4,77
86,Acmena_graveolens,Myrtaceae,Tree,32,Australia,Cairns - Daintree canopy crane,16.103,145.446,-1,263,25.2,459
69,Phaleria_ixoroides,Thymelaeaceae,Tree,5,Fiji,Viti Levu,17.8,178,-1,1108,19.3,412
123,Premna_serratifolia,Lamiaceae,Shrub/Tree,7,Micronesia,Yap,9.5,138.167,1,15,27.2,368
72,Pullea_perryana,Cunoniaceae,Tree,12,Fiji,ao,17.742,178.392,-1,47,24.8,381
161,Retama_sphaerocarpa,Fabaceae - P,Shrub,1.68,Spain,NA,37.133,-2.367,1,648,15.3,43
46,Themeda_triandra,Poaceae,Herb,0.7,South Africa,Zululand - ledube,28.234,32.017,-1,289,20.5,129
63,Maesa_tongensis,Maesaceae,Shrub/Tree,4,Fiji,fulanga,19.133,-178.567,-1,0,24.9,278
73,Eleusine_aegyptica,Poaceae,Herb,0.6,Fiji,ab,17.667,178.167,-1,312,23.5,379
164,Lepechinia_calycina,Lamiaceae,Shrub,1.6,USA,Jasper Ridge - Chaparral,37.4,-122.233,1,150,13.8,120
117,Maranthes_glabra,Chrysobalanaceae,Tree,32,Liberia,NA,5.5,-7.5,1,152,26,287
189,Pseudotsuga_menziesii,Pinaceae,Tree,61,USA,Oregon,44,-122,1,1446,5,246
113,Aporusa_globifera,Phyllanthaceae,NA,14.8,Malaysia,NA,3,102.333,1,228,25.8,255
40,Polygonum_lapathifolium,Polygonaceae,Herb,1,Australia,NA,30.517,145.133,-1,106,19.9,44
71,Diospyros_gillespiei,Ebenaceae,Tree,15,Fiji,abko,17.758,178.577,-1,13,24.9,390
107,Hibiscus_tiliaceus,Malvaceae,Tree,7,Papua New Guinea,Motupore Island,9.5,147.267,-1,30,26.8,201
78,Myristica_macrantha,Myristicaceae,Tree,20,Fiji,abo,17.356,178.675,-1,3,25,384
81,Weinmannia_richii,Cunoniaceae,Shrub/Tree,7,Fiji,abt,17.081,179.069,-1,2,25.4,362
122,Hybanthus_prunifolius,Violaceae,Shrub,2.9,Panama,BCI,9.167,-79.85,1,94,26.3,390
140,Mallotus_japonicus,Euphorbiaceae,Tree,9.67,Japan,NA,30.333,130.4,1,530,18.2,521
64,Melochia_longepetiolata,Malvaceae,Tree,8,Fiji,k,18.967,178.283,-1,72,24.1,316
53,Eremophila_forrestii,Scrophulariaceae,Shrub,2,Australia,WA,24.65,113.7,-1,7,22.3,50
26,Leucadendron_sp,Proteaceae,Shrub,0.6,South Africa,Stellenbosch - fynbos,33.992,18.975,-1,387,15.7,160
18,Hakea_rostrata,Proteaceae,Shrub,1.7,Australia,NA,36.917,142.417,-1,366,13,92
38,Adenanthos_cygnorum,Proteaceae,Tree,7,Australia,Perth - Melaleuca Park,31.689,115.886,-1,60,18.3,160
222,Cassiope_tetragona,Ericaceae,Shrub,0.08,Greenland,Zackenberg - hill,74.476,-20.629,1,83,-11.1,27
156,Thalictrum_thalictroides,Ranunculaceae,Herb,0.2,USA,"Duke Forest, Durham, NC",35.967,-79,1,99,14.9,113
209,Rumex_acetosa,Polygonaceae,Herb,0.707,Finland,NA,62,27,1,114,3.4,84
137,Casimiroa_greggii,Rutaceae,Shrub,7,Mexico,Linares - Puenta Viejo,24.749,-99.799,1,736,20.7,149
10,Baccharis_divaricata,Asteraceae,Shrub,0.5,Argentina,Puerto Madryn - dune,42.769,-64.101,-1,66,13,28
121,Hirtella_triandra,Chrysobalanaceae,Tree,23.5,Panama,Panama - BCI,9.15,-79.849,1,165,26.5,383
139,Morus_boninensis,Moraceae,Tree,16,Japan,NA,26.65,142.133,1,230,23.4,151
173,Aquilegia_caerulea,Ranunculaceae,Herb,0.233,USA,Rockies,38.966,-106.987,1,2966,0.2,53
116,Parashorea_malaanonan,Dipterocarpaceae,Tree,34,NA,NA,4.967,117.8,1,214,25.9,253
82,Brackenridgea_nitida,Ochnaceae,Shrub/Tree,15,Fiji,abrambi,16.956,179.069,-1,5,25.5,356
77,Richella_monosperma,Annonaceae,Tree,15,Fiji,aot,17.447,178.917,-1,97,24.6,382
37,Xanthorrhoea_preissii,Xanthorrhoeaceae,Shrub,1.5,Australia,Perth - Darling Scarp,32.02,116.044,-1,209,17,213
126,Ocotea_meziana,Lauraceae,Tree,16,Costa Rica,NA,10.433,-83.983,1,50,26,481
21,Leptospermum_continentale,Myrtaceae,Shrub,2.8,Australia,Adelaide - ferries,35.235,139.132,-1,52,15.6,45
129,Ampelocera_hottlei,Ulmaceae,Tree,25,Mexico,Chajul,16.106,-90.987,1,41,25.9,515
99,Eucalyptus_miniata,Myrtaceae,Tree,20,Australia,"Howard Springs, Darwin",12.494,131.108,-1,26,27.3,371
61,Heteropogon_triticeus,Poaceae,Herb,0.4,Australia,Townsville savanna,19.337,146.755,-1,79,23.9,251
13,Coprosma_robusta,Rubiaceae,Shrub,6,New Zealand,Nelson,42,173,-1,1650,4.2,204
220,Pedicularis_lapponica,Orobanchaceae,Herb,0.2,Greenland,disko island,69.25,-53.6,1,150,-5.7,38
151,Quercus_calliprinos,Fagaceae,Shrub,3.5,Israel,Adulam,34.935,34.935,1,358,4.8,77
