Day,Quadrat,Treatment,BareRock
0,6,cage.control,9.17
0,8,cage.control,21.67
0,9,cage.control,20
0,11,cage.control,7.5
0,16,cage.control,14.17
0,18,cage.control,5
0,38,cage.control,2.5
0,39,cage.control,0
14,6,cage.control,2
14,8,cage.control,6
14,9,cage.control,7
14,11,cage.control,21
14,16,cage.control,12
14,18,cage.control,16
14,38,cage.control,11
14,39,cage.control,17
33,6,cage.control,3
33,8,cage.control,5
33,9,cage.control,7
33,11,cage.control,16
33,16,cage.control,16
33,18,cage.control,9
33,38,cage.control,2
33,39,cage.control,2
49,6,cage.control,0
49,8,cage.control,0
49,9,cage.control,18
49,11,cage.control,29
49,16,cage.control,23
49,18,cage.control,1
49,38,cage.control,2
49,39,cage.control,0
75,6,cage.control,6
75,8,cage.control,2
75,9,cage.control,7
75,11,cage.control,17
75,16,cage.control,4
75,18,cage.control,6
75,38,cage.control,3
75,39,cage.control,0
92,6,cage.control,0
92,8,cage.control,7
92,9,cage.control,13
92,11,cage.control,19
92,16,cage.control,11
92,18,cage.control,0
92,38,cage.control,7
92,39,cage.control,8
130,6,cage.control,8
130,8,cage.control,10
130,9,cage.control,8
130,11,cage.control,15
130,16,cage.control,3
130,18,cage.control,10
130,38,cage.control,2
130,39,cage.control,7
159,6,cage.control,0
159,8,cage.control,22
159,9,cage.control,23
159,11,cage.control,21
159,16,cage.control,7
159,18,cage.control,12
159,38,cage.control,13
159,39,cage.control,10
210,6,cage.control,26
210,8,cage.control,2
210,9,cage.control,2
210,11,cage.control,0
210,16,cage.control,6
210,18,cage.control,20
210,38,cage.control,22
210,39,cage.control,17
0,25,control,4.17
0,26,control,8.33
0,27,control,5.83
0,28,control,5
0,29,control,4.17
0,30,control,5
0,31,control,3.33
0,32,control,1.67
14,25,control,5
14,26,control,15
14,27,control,4
14,28,control,6
14,29,control,6
14,30,control,7
14,31,control,5
14,32,control,0
33,25,control,0
33,26,control,10
33,27,control,5
33,28,control,8
33,29,control,4
33,30,control,8
33,31,control,6
33,32,control,0
49,25,control,0
49,26,control,0
49,27,control,14
49,28,control,16
49,29,control,11
49,30,control,4
49,31,control,4
49,32,control,27
75,25,control,8
75,26,control,9
75,27,control,3
75,28,control,2
75,29,control,12
75,30,control,7
75,31,control,2
75,32,control,2
92,25,control,3
92,26,control,5
92,27,control,3
92,28,control,6
92,29,control,8
92,30,control,3
92,31,control,0
92,32,control,9
130,25,control,2
130,26,control,5
130,27,control,3
130,28,control,7
130,29,control,8
130,30,control,3
130,31,control,1
130,32,control,10
159,25,control,8
159,26,control,3
159,27,control,5
159,28,control,6
159,29,control,3
159,30,control,5
159,31,control,13
159,32,control,7
210,25,control,16
210,26,control,20
210,27,control,2
210,28,control,6
210,29,control,1
210,30,control,2
210,31,control,0
210,32,control,9
0,7,high.urchin,2.5
0,10,high.urchin,0.83
0,15,high.urchin,9.17
0,17,high.urchin,3.33
0,20,high.urchin,5.83
0,24,high.urchin,3.33
0,33,high.urchin,1.67
0,40,high.urchin,4.17
33,7,high.urchin,4
33,10,high.urchin,19
33,15,high.urchin,40
33,17,high.urchin,20
33,20,high.urchin,19
33,24,high.urchin,22
33,33,high.urchin,14
33,40,high.urchin,22
49,7,high.urchin,0
49,10,high.urchin,25
49,15,high.urchin,25
49,17,high.urchin,32
49,20,high.urchin,27
49,24,high.urchin,19
49,33,high.urchin,0
49,40,high.urchin,22
