elevation,species,abundance,sheet,date
Mid,Nerita,0,1,2/22/2024
Mid,Cellana,5,1,2/22/2024
Mid,Austrocochlea,4,1,2/22/2024
Low,Nerita,0,1,2/22/2024
Low,Cellana,26,1,2/22/2024
Low,Austrocochlea,0,1,2/22/2024
High,Nerita,16,1,2/22/2024
High,Cellana,14,1,2/22/2024
High,Austrocochlea,10,1,2/22/2024
High,Nerita,0,1,2/22/2024
High,Cellana,6,1,2/22/2024
High,Austrocochlea,0,1,2/22/2024
Mid,Nerita,0,1,2/22/2024
Mid,Cellana,8,1,2/22/2024
Mid,Austrocochlea,0,1,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,0,2,2/22/2024
Mid,Austrocochlea,3,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
High,Austrocochlea,0,2,2/22/2024
Mid,Cellana,3,2,2/22/2024
Low,Nerita,0,2,2/22/2024
Low,Cellana,0,2,2/22/2024
Low,Austrocochlea,9,2,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,0,2,2/22/2024
High,Austrocochlea,11,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
Mid,Cellana,0,2,2/22/2024
Mid,Austrocochlea,10,2,2/22/2024
Low,Nerita,8,2,2/22/2024
Low,Cellana,4,2,2/22/2024
Low,Austrocochlea,6,2,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,6,2,2/22/2024
High,Austrocochlea,0,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
Mid,Cellana,5,2,2/22/2024
Mid,Austrocochlea,0,2,2/22/2024
Low,Nerita,0,2,2/22/2024
Low,Cellana,3,2,2/22/2024
Low,Austrocochlea,1,2,2/22/2024
High,Nerita,1,2,2/22/2024
Mid,Cellana,8,3,2/22/2024
Mid,Nerita,5,3,2/22/2024
Mid,Cellana,1,3,2/22/2024
Mid,Nerita,2,3,2/22/2024
Low,Cellana,8,3,2/22/2024
Low,Nerita,8,3,2/22/2024
Mid,Austrocochlea,7,3,2/22/2024
Mid,Austrocochlea,1,3,2/22/2024
Low,Austrocochlea,0,3,2/22/2024
Low,Austrocochlea,4,3,2/22/2024
Low,Cellana,4,3,2/22/2024
Low,Nerita,0,3,2/22/2024
Low,Nerita,4,3,2/22/2024
Low,Cellana,5,3,2/22/2024
Mid,Cellana,2,3,2/22/2024
Low,Nerita,2,3,2/22/2024
Low,Austrocochlea,5,3,2/22/2024
Low,Austrocochlea,3,3,2/22/2024
Low,Nerita,0,3,2/22/2024
Low,Nerita,3,3,2/22/2024
Low,Cellana,3,3,2/22/2024
Mid,Austrocochlea,0,3,2/22/2024
Mid,Cellana,2,3,2/22/2024
Mid,Nerita,0,3,2/22/2024
Mid,Nerita,1,3,2/22/2024
Mid,Nerita,5,4,2/22/2024
Mid,Cellana,6,4,2/22/2024
Mid,Cellana,5,4,2/22/2024
Mid,Nerita,5,4,2/22/2024
Mid,Austrocochlea,4,4,2/22/2024
Mid,Cellana,7,4,2/22/2024
Low,Nerita,10,4,2/22/2024
Low,Cellana,3,4,2/22/2024
Low,Austrocochlea,1,4,2/22/2024
Mid,Austrocochlea,1,4,2/22/2024
Mid,Cellana,4,4,2/22/2024
Low,Nerita,6,4,2/22/2024
Low,Cellana,2,4,2/22/2024
High,Austrocochlea,9,4,2/22/2024
High,Nerita,5,4,2/22/2024
High,Cellana,5,4,2/22/2024
High,Nerita,4,4,2/22/2024
High,Cellana,6,4,2/22/2024
High,Nerita,4,4,2/22/2024
High,Cellana,8,4,2/22/2024
High,Austrocochlea,7,4,2/22/2024
High,Cellana,2,4,2/22/2024
Mid,Cellana,13,5,2/22/2024
Mid,Austrocochlea,0,5,2/22/2024
Mid,Nerita,0,5,2/22/2024
Low,Cellana,15,5,2/22/2024
Low,Austrocochlea,2,5,2/22/2024
Low,Nerita,5,5,2/22/2024
Mid,Austrocochlea,3,5,2/22/2024
Mid,Cellana,7,5,2/22/2024
Mid,Nerita,1,5,2/22/2024
Low,Austrocochlea,0,5,2/22/2024
Low,Cellana,2,5,2/22/2024
Low,Nerita,1,5,2/22/2024
High,Cellana,0,5,2/22/2024
High,Austrocochlea,0,5,2/22/2024
High,Nerita,0,5,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
High,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,3,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,5,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,4,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,5,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,13,6,2/22/2024
Mid,Nerita,2,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,1,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,1,6,2/22/2024
Mid,Cellana,1,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,6,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,10,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Nerita,0,7,2/22/2024
Mid,Austrocochlea,8,7,2/22/2024
Mid,Cellana,2,7,2/22/2024
Mid,Nerita,8,7,2/22/2024
High,Austrocochlea,4,7,2/22/2024
High,Cellana,0,7,2/22/2024
High,Nerita,0,7,2/22/2024
High,Austrocochlea,0,7,2/22/2024
Low,Cellana,5,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,4,7,2/22/2024
Mid,Cellana,0,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,3,7,2/22/2024
Mid,Cellana,0,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
High,Austrocochlea,0,7,2/22/2024
High,Cellana,0,7,2/22/2024
High,Nerita,10,7,2/22/2024
Mid,Austrocochlea,2,7,2/22/2024
High,Cellana,2,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
Low,Austrocochlea,0,7,2/22/2024
Low,Cellana,1,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,2,7,2/22/2024
Low,Cellana,3,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
Mid,Nerita,15,8,2/22/2024
Mid,Cellana,0,8,2/22/2024
Mid,Austrocochlea,12,8,2/22/2024
Mid,Nerita,1,8,2/22/2024
Mid,Cellana,0,8,2/22/2024
Mid,Austrocochlea,0,8,2/22/2024
High,Nerita,0,8,2/22/2024
High,Cellana,2,8,2/22/2024
High,Austrocochlea,0,8,2/22/2024
High,Nerita,0,8,2/22/2024
High,Cellana,9,8,2/22/2024
High,Austrocochlea,0,8,2/22/2024
Low,Nerita,0,8,2/22/2024
Low,Cellana,1,8,2/22/2024
Low,Austrocochlea,0,8,2/22/2024
Low,Nerita,0,8,2/22/2024
Low,Cellana,0,8,2/22/2024
Low,Austrocochlea,1,8,2/22/2024
Mid,Nerita,0,8,2/22/2024
Mid,Cellana,3,8,2/22/2024
Mid,Austrocochlea,7,8,2/22/2024
High,Cellana,2,9,
High,Cellana,6,9,
High,Cellana,6,9,
High,Cellana,0,9,
High,Cellana,4,9,
High,Cellana,8,9,
Mid,Cellana,16,9,
Low,Cellana,14,9,
Mid,Cellana,4,9,
Low,Cellana,4,9,
Mid,Cellana,4,9,
Mid,Cellana,2,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,1,9,
Mid,Nerita,3,9,
Low,Nerita,0,9,
Mid,Nerita,0,9,
Low,Nerita,0,9,
Mid,Nerita,1,9,
Mid,Nerita,0,9,
High,Austrocochlea,0,9,
High,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Mid,Austrocochlea,4,9,
High,Austrocochlea,3,9,
High,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Low,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Low,Austrocochlea,0,9,
High,Austrocochlea,6,9,
Low,Austrocochlea,0,9,
Mid,Cellana,9,10,
Low,Nerita,9,10,
Low,Austrocochlea,8,10,
Mid,Cellana,2,10,
High,Nerita,0,10,
High,Austrocochlea,0,10,
High,Cellana,9,10,
Mid,Nerita,0,10,
Low,Austrocochlea,3,10,
Low,Cellana,1,10,
Low,Nerita,0,10,
Low,Austrocochlea,5,10,
Mid,Cellana,4,10,
Mid,Nerita,8,10,
High,Austrocochlea,9,10,
Low,Cellana,0,10,
Mid,Nerita,14,10,
Low,Austrocochlea,0,10,
Mid,Cellana,13,10,
Mid,Nerita,0,10,
High,Austrocochlea,1,10,
High,Cellana,0,10,
High,Nerita,0,10,
High,Austrocochlea,1,10,
Mid,Austrocochlea,4,11,
Mid,Cellana,1,11,
Mid,Nerita,1,11,
Low,Austrocochlea,0,11,
Low,Cellana,3,11,
Low,Nerita,0,11,
High,Austrocochlea,0,11,
High,Cellana,6,11,
High,Nerita,0,11,
Mid,Austrocochlea,9,11,
Mid,Cellana,4,11,
Mid,Nerita,1,11,
Low,Austrocochlea,0,11,
Low,Cellana,17,11,
Low,Nerita,0,11,
High,Austrocochlea,6,11,
High,Cellana,7,11,
High,Nerita,0,11,
Mid,Austrocochlea,0,11,
Mid,Cellana,2,11,
Mid,Nerita,0,11,
Mid,Cellana,6,12,
Mid,Austrocochlea,0,12,
Mid,Nerita,1,12,
Low,Cellana,0,12,
Low,Austrocochlea,12,12,
Low,Nerita,0,12,
Low,Cellana,0,12,
Mid,Austrocochlea,2,12,
High,Nerita,0,12,
Mid,Cellana,4,12,
High,Austrocochlea,0,12,
High,Nerita,21,12,
High,Cellana,2,12,
Mid,Austrocochlea,0,12,
Mid,Nerita,0,12,
Low,Cellana,10,12,
Low,Austrocochlea,0,12,
Mid,Cellana,10,12,
Mid,Nerita,4,13,
Mid,Cellana,7,13,
High,Austrocochlea,0,13,
High,Nerita,4,13,
High,Cellana,3,13,
Mid,Austrocochlea,2,13,
Mid,Nerita,0,13,
Mid,Cellana,3,13,
Low,Austrocochlea,0,13,
Low,Cellana,11,13,
Mid,Nerita,7,13,
Mid,Austrocochlea,1,13,
Mid,Nerita,0,13,
Mid,Cellana,0,13,
Mid,Cellana,4,13,
Low,Austrocochlea,0,13,
Low,Nerita,0,13,
Low,Cellana,4,13,
Mid,Austrocochlea,0,13,
Mid,Austrocochlea,4,13,
Low,Nerita,0,13,
Mid,Cellana,3,13,
Mid,Cellana,6,13,
Low,Nerita,0,13,
Low,Austrocochlea,0,13,
Low,Nerita,0,13,
Low,Nerita,0,14,
Mid,Cellana,0,14,
Mid,Austrocochlea,0,14,
Low,Nerita,0,14,
Low,Cellana,13,14,
Mid,Austrocochlea,0,14,
Low,Nerita,0,14,
Low,Cellana,28,14,
Low,Austrocochlea,0,14,
Low,Nerita,4,14,
