Date,Collectors,Habitat,Zone,Elevation,Brown_algae,Green_ algae,Red_algae,Nerita,Cella0,Austrocochlea,Bembicium,Morula,Patiriella,Pyura,Actinia
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Emergent,Low,0.05,0,0,0,0,47,1,0,0,0,0,0
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Emergent,Mid,0.45,5,0,0,7,24,1,0,6,0,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Emergent,Mid,0.6,0,0.05,0,9,11,4,0,0,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Rockpool,Mid,0.5,0.5,0,0,0,25,5,0,0,0,0,0
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Rockpool,High,1,0,0,0,0,5,0,0,0,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Emergent,High,1,0.5,0,0,9,4,12,0,1,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Emergent,Mid,0.6,0.3,0,0,0,50,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Mid,0.4,0.27,0,0,1,37,19,0,3,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Low,0.3,0,0,0,0,9,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Mid,0.6,0,0,0,69,19,18,0,0,0,0,2
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,High,0.7,0,0,0,2,0,2,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,High,0.8,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Mid,0.6,0,0.015,0,23,0,0,5,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Mid,0.48,0.1,0,0,8,12,0,29,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Low,0.35,0,0.2,0,25,24,0,14,1,0,0,0
1899-12-31T00:00:00Z,"Bonita, Sally, Maddie",Emergent,Low,0.3,0.05,0,0,15,8,8,0,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.4,0,0,0,0,40,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.55,0,0,0,27,1,0,1,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.55,0,0,0,15,7,0,8,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,High,0.8,0,0,0,20,0,0,29,0,0,0,0
