Treatment,Replicate,Weed1,Weed2,Weed3,Weed4,Weed5,Weed6,Weed7,Weed8,Weed9,Weed10,Weed11,Weed12
Control,1,0,0,1,1,0,1,0,2,2,1,0,0
Control,2,1,0,0,0,1,1,1,0,1,1,2,1
Control,3,0,3,1,1,1,1,0,2,1,0,1,0
Control,4,1,2,1,1,0,0,2,3,2,1,3,5
Control,5,0,1,0,0,1,1,0,1,0,1,2,3
Control,6,2,0,4,4,3,5,4,3,5,3,5,7
Control,7,1,4,4,1,1,1,0,1,0,2,6,3
Control,8,0,3,3,2,2,3,2,3,5,4,2,1
Control,9,3,3,0,0,0,3,3,2,2,1,0,0
Control,10,0,0,0,3,0,3,2,2,4,3,4,4
Low,1,2,0,1,4,3,2,1,2,1,2,3,4
Low,2,0,2,1,3,2,4,5,0,6,7,2,5
Low,3,0,2,1,0,2,0,2,1,3,4,0,1
Low,4,1,1,1,0,2,4,6,0,2,1,1,1
Low,5,0,1,2,2,2,3,1,0,4,7,8,1
Low,6,3,1,0,3,2,0,2,2,3,6,9,2
Low,7,0,0,1,1,0,2,1,2,2,1,0,0
Low,8,1,2,0,0,1,1,1,0,1,1,2,0
Low,9,2,1,1,0,2,1,3,5,0,0,0,0
Low,10,2,1,0,1,0,2,5,5,1,1,0,1
High,1,1,5,10,7,0,0,2,0,1,0,2,1
High,2,2,6,12,8,5,5,3,0,0,1,1,2
High,3,1,7,14,6,6,0,5,1,1,0,0,0
High,4,0,8,9,7,4,10,8,0,0,1,2,4
High,5,1,9,8,9,5,12,0,1,2,0,0,1
High,6,2,7,19,8,6,11,5,0,0,1,2,4
High,7,2,8,11,7,7,0,8,0,1,1,2,5
High,8,1,9,7,8,6,9,11,1,0,1,3,4
High,9,0,7,0,9,0,8,8,0,0,1,3,3
High,10,0,8,3,5,9,9,2,0,0,0,0,0
