Class,area,b1,b1_1,b1_2,b2,b2_2,b2_3,b2_diss,b2_savg,b3,b3_2,b3_3,b3_corr,b3_diss,b3_savg,perimeter
0,6,11300,953,11232,10200,954,10021,597,19927,9200,939,9048,25,610,17877,8500
0,4,14000,751,14201,12500,771,12672,789,25510,12000,769,12094,-9,768,24377,6500
0,2,16000,3164,16995,14800,3509,16078,560,30543,14400,3691,15540,11,568,29639,6500
0,7,12100,1183,11106,11500,1177,10900,756,22222,9500,1123,8620,-19,739,18302,11700
0,7,13700,775,13429,12800,803,12525,645,26141,11700,780,11515,14,591,24154,9200
0,4,10900,1047,10164,10200,996,9341,1222,18543,8800,1047,8006,-7,1172,15877,9300
0,7,14800,1180,14984,14200,1190,14240,1597,27764,12400,1171,12601,2,1550,24258,10400
0,9,14000,1100,13359,12700,1096,12165,391,24541,11600,1112,11091,-27,352,22485,15500
0,3,15400,576,14533,14400,633,13477,806,27893,13300,569,12435,6,781,25827,5900
0,2,11900,1041,13141,11000,1037,12210,1112,21437,9500,1051,10805,-28,1122,18427,4600
0,4,16800,867,17825,16600,904,17401,972,32767,13300,836,14441,8,895,27187,6800
0,7,11500,552,11286,10500,546,10207,772,20285,9000,516,8763,16,743,17364,13000
0,7,13900,905,12930,12800,902,11917,1060,23935,11200,886,10187,-9,1081,20606,9400
0,0,9200,439,8923,8200,449,7957,1891,19233,6700,410,6609,-9,1868,16277,2000
0,2,11700,1150,12271,12300,1173,12532,816,23679,10500,1150,10808,-4,797,19985,3800
0,4,14300,861,14627,12900,835,13990,968,24385,11400,801,11728,-7,962,21295,6900
0,4,12800,925,13233,11400,1038,11900,300,23070,10900,1061,11475,7,302,22189,6600
0,10,11300,1034,11708,10100,1055,10828,360,20606,8800,1134,9385,7,366,18229,15000
0,5,16500,731,16815,15300,719,15493,1293,31185,14600,749,14607,3,1387,29795,6600
0,2,15400,1512,15044,14100,1505,13651,1164,28297,13900,1472,13214,19,1206,27818,3800
0,12,10300,1364,13515,9500,1286,12604,2535,23347,8400,1218,11045,-14,2606,21256,16600
0,11,12100,1139,11826,10800,1181,10546,1054,20262,10400,1198,10230,9,1031,19552,14000
0,7,18500,1265,17788,17500,1266,16634,1577,32767,16800,1243,16065,6,1547,32435,9100
0,2,15000,1049,14739,13800,1099,13611,379,27083,13600,1063,13370,-13,364,26697,4800
0,9,15400,1100,13359,14000,1096,12165,1047,27047,13200,1112,11091,3,1091,25279,15500
0,9,9700,852,9557,8400,844,8303,314,16981,8000,851,7759,-7,345,16191,12600
0,6,16400,715,16487,14900,778,15073,316,29762,14100,784,14256,-43,310,28177,10400
0,3,12200,1242,12246,10800,1184,10858,645,22604,9900,1193,9942,12,702,20897,4600
0,1,17200,1232,15305,15800,1072,14114,702,30831,14000,1086,12237,6,722,27072,3000
0,3,12500,772,13177,11300,723,12111,804,21970,10700,835,11179,15,772,20706,6400
0,6,11800,1204,11180,10800,1182,10294,506,21410,9800,1208,9152,-10,495,19370,9500
0,2,6100,1483,5705,10000,1728,8688,677,20227,7200,1614,6218,-8,639,14527,3500
0,11,12800,1139,11826,11600,1181,10546,672,23647,11200,1198,10230,5,685,22872,14000
0,4,12300,1557,12041,10800,1514,10696,375,22087,10500,1461,10349,-5,360,21472,6300
0,3,15400,1179,13577,14400,1056,12754,1316,27041,12500,1095,10829,-2,1331,23335,6200
0,6,18300,1193,19050,17400,1236,18051,583,32767,17000,1278,17565,23,541,32767,12200
0,3,17800,1786,14900,16000,1736,13130,2239,28568,15200,1678,12346,-46,2225,26983,5900
0,6,18500,1193,19050,17100,1236,18051,962,32767,16300,1278,17565,22,941,32045,12200
0,4,12100,1004,12063,11100,903,11445,872,22697,10600,978,10607,4,831,21727,7300
0,3,13400,1034,13239,12300,1061,12161,460,24002,11700,1059,11742,16,443,23014,6300
0,4,16100,442,16422,14900,435,15097,437,29912,13800,454,14157,1,472,27831,4500
0,7,16300,1180,14984,15600,1190,14240,1168,29927,13800,1171,12601,-11,1214,26218,10400
0,1,17000,714,16872,15300,719,15262,1416,29925,14600,732,14531,11,1414,28535,2600
0,2,13600,1402,13880,13300,1407,13636,541,26687,11100,1386,11455,-28,560,22222,3700
0,6,6500,1161,5356,10200,1154,9150,1233,18225,7400,1147,6269,-3,1272,12689,7800
0,4,14800,1188,14788,13700,1199,13876,372,27227,12200,1193,12260,21,397,24331,7200
0,5,19100,765,16216,18300,774,15242,916,32767,17600,779,14473,-4,947,32767,10200
0,7,14000,775,13429,13300,803,12525,493,26056,11900,780,11515,18,445,23429,9200
0,12,13500,1364,13515,12800,1286,12604,1160,25360,11700,1218,11045,-20,1185,22997,16600
0,4,11500,1916,14081,10200,1890,12598,1114,21139,9400,1821,11852,12,1114,19647,8600
0,5,15300,563,15478,13900,540,14246,314,28327,13000,540,13316,-11,308,26512,6000
0,3,11600,811,11882,10100,810,10406,1275,21387,9500,831,9844,16,1297,20227,5600
0,5,17800,932,17416,16400,921,16070,647,32268,15500,902,15288,-12,625,30616,5900
0,0,19100,172,19280,17800,174,17960,1775,32725,17300,172,17480,-7,1768,31739,500
0,1,15500,826,15522,14200,826,14271,787,28004,13100,806,13267,15,724,25804,4400
0,6,11500,591,10873,10100,617,9517,383,19562,9600,587,8946,1,368,18627,9900
0,6,18900,1193,19050,17900,1236,18051,645,32767,17600,1278,17565,23,585,32767,12200
0,5,12500,742,13257,10900,738,11725,443,22568,10300,749,11075,-43,410,21393,7500
0,3,10100,1082,10537,9000,1069,9488,777,17597,7800,1091,8358,-1,789,15039,5700
0,3,12200,1034,13239,11100,1061,12161,833,21983,10700,1059,11742,9,835,21143,6300
0,2,12900,1402,13880,12700,1407,13636,406,25339,10600,1386,11455,-32,387,21179,3700
0,6,10800,591,10873,9400,617,9517,466,18487,9000,587,8946,1,479,17662,9900
0,3,11400,630,12597,10200,620,11465,1077,21327,8600,593,9933,11,1058,18216,7700
0,5,12800,790,10416,11500,809,9129,1358,20733,11200,815,8828,-22,1364,20118,6000
0,4,9700,625,9631,8300,644,8222,550,17429,7900,597,7756,-6,525,16625,7200
0,7,17400,1265,17788,16100,1266,16634,1331,31327,15400,1243,16065,31,1343,29981,9100
0,6,12100,591,10873,10800,617,9517,310,21047,10100,587,8946,0,327,19622,9900
0,0,17000,775,17753,15700,844,16492,664,31752,15100,914,15923,36,731,30447,1300
0,0,13300,431,13587,12500,397,12837,629,25458,11000,447,11208,-15,664,22235,2300
0,10,13500,786,12556,12200,779,11409,387,23754,10600,779,9955,-2,466,20529,18100
0,7,17000,1180,14984,16300,1190,14240,929,31304,14400,1171,12601,-3,939,27464,10400
